infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
déménager,to move,FALSE,déménage,déménages,déménage,déménageons,déménagez,déménagent,ai déménagé,as déménagé,a déménagé,avons déménagé,avez déménagé,ont déménagé,déménageais,déménageais,déménageait,déménagions,déménagiez,déménageaient,déménagerai,déménageras,déménagera,déménagerons,déménagerez,déménageront,déménagerais,déménagerais,déménagerait,déménagerions,déménageriez,avais déménagé,avais déménagé,avait déménagé,avions déménagé,aviez déménagé,avaient déménagé,déménageraient,déménage,déménages,déménage,déménagions,déménagiez,déménagent,aurais déménagé,aurais déménagé,aurait déménagé,aurions déménagé,auriez déménagé,auraient déménagé,aurai déménagé,auras déménagé,aura déménagé,aurons déménagé,aurez déménagé,auront déménagé,N/A,déménage,N/A,déménageons,déménagez,N/A,aie déménagé,aies déménagé,ait déménagé,ayons déménagé,ayez déménagé,aient déménagé,déménageasse,déménageasses,déménageât,déménageassions,déménageassiez,déménageassent,eusse déménagé,eusses déménagé,eût déménagé,eussions déménagé,eussiez déménagé,eussent déménagé,N/A,aie déménagé,N/A,ayons déménagé,ayez déménagé,N/A,eus déménagé,eus déménagé,eut déménagé,eûmes déménagé,eûtes déménagé,eurent déménagé,déménageai,déménageas,déménagea,déménageâmes,déménageâtes,déménagèrent,déménageant
demander,to ask for,FALSE,demande,demandes,demande,demandons,demandez,demandent,ai demandé,as demandé,a demandé,avons demandé,avez demandé,ont demandé,demandais,demandais,demandait,demandions,demandiez,demandaient,demanderai,demanderas,demandera,demanderons,demanderez,demanderont,demanderais,demanderais,demanderait,demanderions,demanderiez,avais demandé,avais demandé,avait demandé,avions demandé,aviez demandé,avaient demandé,demanderaient,demande,demandes,demande,demandions,demandiez,demandent,aurais demandé,aurais demandé,aurait demandé,aurions demandé,auriez demandé,auraient demandé,aurai demandé,auras demandé,aura demandé,aurons demandé,aurez demandé,auront demandé,N/A,demande,N/A,demandons,demandez,N/A,aie demandé,aies demandé,ait demandé,ayons demandé,ayez demandé,aient demandé,demandasse,demandasses,demandât,demandassions,demandassiez,demandassent,eusse demandé,eusses demandé,eût demandé,eussions demandé,eussiez demandé,eussent demandé,N/A,aie demandé,N/A,ayons demandé,ayez demandé,N/A,eus demandé,eus demandé,eut demandé,eûmes demandé,eûtes demandé,eurent demandé,demandai,demandas,demanda,demandâmes,demandâtes,demandèrent,demandant
déduire,to deduce,TRUE,déduis,déduis,déduit,déduisons,déduisez,déduisent,ai déduit,as déduit,a déduit,avons déduit,avez déduit,ont déduit,déduisais,déduisais,déduisait,déduisions,déduisiez,déduisaient,déduirai,déduiras,déduira,déduirons,déduirez,déduiront,déduirais,déduirais,déduirait,déduirions,déduiriez,avais déduit,avais déduit,avait déduit,avions déduit,aviez déduit,avaient déduit,déduiraient,déduise,déduises,déduise,déduisions,déduisiez,déduisent,aurais déduit,aurais déduit,aurait déduit,aurions déduit,auriez déduit,auraient déduit,aurai déduit,auras déduit,aura déduit,aurons déduit,aurez déduit,auront déduit,N/A,déduis,N/A,déduisons,déduisez,N/A,aie déduit,aies déduit,ait déduit,ayons déduit,ayez déduit,aient déduit,déduisisse,déduisisses,déduisît,déduisissions,déduisissiez,déduisissent,eusse déduit,eusses déduit,eût déduit,eussions déduit,eussiez déduit,eussent déduit,N/A,aie déduit,N/A,ayons déduit,ayez déduit,N/A,eus déduit,eus déduit,eut déduit,eûmes déduit,eûtes déduit,eurent déduit,déduisis,déduisis,déduisit,déduisîmes,déduisîtes,déduisirent,déduisant
défaire,to undo,TRUE,défais,défais,défait,défaisons,défaites,défont,ai défait,as défait,a défait,avons défait,avez défait,ont défait,défaisais,défaisais,défaisait,défaisions,défaisiez,défaisaient,déferai,déferas,défera,déferons,déferez,déferont,déferais,déferais,déferait,déferions,déferiez,avais défait,avais défait,avait défait,avions défait,aviez défait,avaient défait,déferaient,défasse,défasses,défasse,défassions,défassiez,défassent,aurais défait,aurais défait,aurait défait,aurions défait,auriez défait,auraient défait,aurai défait,auras défait,aura défait,aurons défait,aurez défait,auront défait,N/A,défais,N/A,défaisons,défaites,N/A,aie défait,aies défait,ait défait,ayons défait,ayez défait,aient défait,défisse,défisses,défît,défissions,défissiez,défissent,eusse défait,eusses défait,eût défait,eussions défait,eussiez défait,eussent défait,N/A,aie défait,N/A,ayons défait,ayez défait,N/A,eus défait,eus défait,eut défait,eûmes défait,eûtes défait,eurent défait,défis,défis,défit,défîmes,défîtes,défirent,défaisant
dépeindre,to depict,TRUE,dépeins,dépeins,dépeint,dépeignons,dépeignez,dépeignent,ai dépeint,as dépeint,a dépeint,avons dépeint,avez dépeint,ont dépeint,dépeignais,dépeignais,dépeignait,dépeignions,dépeigniez,dépeignaient,dépeindrai,dépeindras,dépeindra,dépeindrons,dépeindrez,dépeindront,dépeindrais,dépeindrais,dépeindrait,dépeindrions,dépeindriez,avais dépeint,avais dépeint,avait dépeint,avions dépeint,aviez dépeint,avaient dépeint,dépeindraient,dépeigne,dépeignes,dépeigne,dépeignions,dépeigniez,dépeignent,aurais dépeint,aurais dépeint,aurait dépeint,aurions dépeint,auriez dépeint,auraient dépeint,aurai dépeint,auras dépeint,aura dépeint,aurons dépeint,aurez dépeint,auront dépeint,N/A,dépeins,N/A,dépeignons,dépeignez,N/A,aie dépeint,aies dépeint,ait dépeint,ayons dépeint,ayez dépeint,aient dépeint,dépeignisse,dépeignisses,dépeignît,dépeignissions,dépeignissiez,dépeignissent,eusse dépeint,eusses dépeint,eût dépeint,eussions dépeint,eussiez dépeint,eussent dépeint,N/A,aie dépeint,N/A,ayons dépeint,ayez dépeint,N/A,eus dépeint,eus dépeint,eut dépeint,eûmes dépeint,eûtes dépeint,eurent dépeint,dépeignis,dépeignis,dépeignit,dépeignîmes,dépeignîtes,dépeignirent,dépeignant
devenir,to become,TRUE,deviens,deviens,devient,devenons,devenez,deviennent,suis devenu,es devenu,est devenu,sommes devenu,êtes devenu,sont devenu,devenais,devenais,devenait,devenions,deveniez,devenaient,deviendrai,deviendras,deviendra,deviendrons,deviendrez,deviendront,deviendrais,deviendrais,deviendrait,deviendrions,deviendriez,étais devenu,étais devenu,était devenu,étions devenu,étiez devenu,étaient devenu,deviendraient,devienne,deviennes,devienne,devenions,deveniez,deviennent,serais devenu,serais devenu,serait devenu,serions devenu,seriez devenu,seraient devenu,serai devenu,seras devenu,sera devenu,serons devenu,serez devenu,seront devenu,N/A,deviens,N/A,devenons,devenez,N/A,sois devenu,sois devenu,soit devenu,soyons devenu,soyez devenu,soient devenu,devinsse,devinsses,devînt,devinssions,devinssiez,devinssent,fusse devenu,fusses devenu,fût devenu,fussions devenu,fussiez devenu,fussent devenu,N/A,sois devenu,N/A,soyons devenu,soyez devenu,N/A,fus devenu,fus devenu,fut devenu,fûmes devenu,fûtes devenu,fûrent devenu,devins,devins,devint,devînmes,devîntes,devinrent,devenant
développer,to develop,FALSE,développe,développes,développe,développons,développez,développent,ai développé,as développé,a développé,avons développé,avez développé,ont développé,développais,développais,développait,développions,développiez,développaient,développerai,développeras,développera,développerons,développerez,développeront,développerais,développerais,développerait,développerions,développeriez,avais développé,avais développé,avait développé,avions développé,aviez développé,avaient développé,développeraient,développe,développes,développe,développions,développiez,développent,aurais développé,aurais développé,aurait développé,aurions développé,auriez développé,auraient développé,aurai développé,auras développé,aura développé,aurons développé,aurez développé,auront développé,N/A,développe,N/A,développons,développez,N/A,aie développé,aies développé,ait développé,ayons développé,ayez développé,aient développé,développasse,développasses,développât,développassions,développassiez,développassent,eusse développé,eusses développé,eût développé,eussions développé,eussiez développé,eussent développé,N/A,aie développé,N/A,ayons développé,ayez développé,N/A,eus développé,eus développé,eut développé,eûmes développé,eûtes développé,eurent développé,développai,développas,développa,développâmes,développâtes,développèrent,développant
dépêcher,to hurry,FALSE,dépêche,dépêches,dépêche,dépêchons,dépêchez,dépêchent,ai dépêché,as dépêché,a dépêché,avons dépêché,avez dépêché,ont dépêché,dépêchais,dépêchais,dépêchait,dépêchions,dépêchiez,dépêchaient,dépêcherai,dépêcheras,dépêchera,dépêcherons,dépêcherez,dépêcheront,dépêcherais,dépêcherais,dépêcherait,dépêcherions,dépêcheriez,avais dépêché,avais dépêché,avait dépêché,avions dépêché,aviez dépêché,avaient dépêché,dépêcheraient,dépêche,dépêches,dépêche,dépêchions,dépêchiez,dépêchent,aurais dépêché,aurais dépêché,aurait dépêché,aurions dépêché,auriez dépêché,auraient dépêché,aurai dépêché,auras dépêché,aura dépêché,aurons dépêché,aurez dépêché,auront dépêché,N/A,dépêche,N/A,dépêchons,dépêchez,N/A,aie dépêché,aies dépêché,ait dépêché,ayons dépêché,ayez dépêché,aient dépêché,dépêchasse,dépêchasses,dépêchât,dépêchassions,dépêchassiez,dépêchassent,eusse dépêché,eusses dépêché,eût dépêché,eussions dépêché,eussiez dépêché,eussent dépêché,N/A,aie dépêché,N/A,ayons dépêché,ayez dépêché,N/A,eus dépêché,eus dépêché,eut dépêché,eûmes dépêché,eûtes dépêché,eurent dépêché,dépêchai,dépêchas,dépêcha,dépêchâmes,dépêchâtes,dépêchèrent,dépêchant
descendre,to descend,TRUE,descends,descends,descend,descendons,descendez,descendent,suis descendu,es descendu,est descendu,sommes descendu,êtes descendu,sont descendu,descendais,descendais,descendait,descendions,descendiez,descendaient,descendrai,descendras,descendra,descendrons,descendrez,descendront,descendrais,descendrais,descendrait,descendrions,descendriez,étais descendu,étais descendu,était descendu,étions descendu,étiez descendu,étaient descendu,descendraient,descende,descendes,descende,descendions,descendiez,descendent,serais descendu,serais descendu,serait descendu,serions descendu,seriez descendu,seraient descendu,serai descendu,seras descendu,sera descendu,serons descendu,serez descendu,seront descendu,N/A,descends,N/A,descendons,descendez,N/A,sois descendu,sois descendu,soit descendu,soyons descendu,soyez descendu,soient descendu,descendisse,descendisses,descendît,descendissions,descendissiez,descendissent,fusse descendu,fusses descendu,fût descendu,fussions descendu,fussiez descendu,fussent descendu,N/A,sois descendu,N/A,soyons descendu,soyez descendu,N/A,fus descendu,fus descendu,fut descendu,fûmes descendu,fûtes descendu,fûrent descendu,descendis,descendis,descendit,descendîmes,descendîtes,descendirent,descendant
dépenser,to spend,FALSE,dépense,dépenses,dépense,dépensons,dépensez,dépensent,ai dépensé,as dépensé,a dépensé,avons dépensé,avez dépensé,ont dépensé,dépensais,dépensais,dépensait,dépensions,dépensiez,dépensaient,dépenserai,dépenseras,dépensera,dépenserons,dépenserez,dépenseront,dépenserais,dépenserais,dépenserait,dépenserions,dépenseriez,avais dépensé,avais dépensé,avait dépensé,avions dépensé,aviez dépensé,avaient dépensé,dépenseraient,dépense,dépenses,dépense,dépensions,dépensiez,dépensent,aurais dépensé,aurais dépensé,aurait dépensé,aurions dépensé,auriez dépensé,auraient dépensé,aurai dépensé,auras dépensé,aura dépensé,aurons dépensé,aurez dépensé,auront dépensé,N/A,dépense,N/A,dépensons,dépensez,N/A,aie dépensé,aies dépensé,ait dépensé,ayons dépensé,ayez dépensé,aient dépensé,dépensasse,dépensasses,dépensât,dépensassions,dépensassiez,dépensassent,eusse dépensé,eusses dépensé,eût dépensé,eussions dépensé,eussiez dépensé,eussent dépensé,N/A,aie dépensé,N/A,ayons dépensé,ayez dépensé,N/A,eus dépensé,eus dépensé,eut dépensé,eûmes dépensé,eûtes dépensé,eurent dépensé,dépensai,dépensas,dépensa,dépensâmes,dépensâtes,dépensèrent,dépensant
dénoncer,to denounce,FALSE,dénonce,dénonces,dénonce,dénonçons,dénoncez,dénoncent,ai dénoncé,as dénoncé,a dénoncé,avons dénoncé,avez dénoncé,ont dénoncé,dénonçais,dénonçais,dénonçait,dénoncions,dénonciez,dénonçaient,dénoncerai,dénonceras,dénoncera,dénoncerons,dénoncerez,dénonceront,dénoncerais,dénoncerais,dénoncerait,dénoncerions,dénonceriez,avais dénoncé,avais dénoncé,avait dénoncé,avions dénoncé,aviez dénoncé,avaient dénoncé,dénonceraient,dénonce,dénonces,dénonce,dénoncions,dénonciez,dénoncent,aurais dénoncé,aurais dénoncé,aurait dénoncé,aurions dénoncé,auriez dénoncé,auraient dénoncé,aurai dénoncé,auras dénoncé,aura dénoncé,aurons dénoncé,aurez dénoncé,auront dénoncé,N/A,dénonce,N/A,dénonçons,dénoncez,N/A,aie dénoncé,aies dénoncé,ait dénoncé,ayons dénoncé,ayez dénoncé,aient dénoncé,dénonçasse,dénonçasses,dénonçât,dénonçassions,dénonçassiez,dénonçassent,eusse dénoncé,eusses dénoncé,eût dénoncé,eussions dénoncé,eussiez dénoncé,eussent dénoncé,N/A,aie dénoncé,N/A,ayons dénoncé,ayez dénoncé,N/A,eus dénoncé,eus dénoncé,eut dénoncé,eûmes dénoncé,eûtes dénoncé,eurent dénoncé,dénonçai,dénonças,dénonça,dénonçâmes,dénonçâtes,dénoncèrent,dénonçant
détester,to hate,FALSE,déteste,détestes,déteste,détestons,détestez,détestent,ai détesté,as détesté,a détesté,avons détesté,avez détesté,ont détesté,détestais,détestais,détestait,détestions,détestiez,détestaient,détesterai,détesteras,détestera,détesterons,détesterez,détesteront,détesterais,détesterais,détesterait,détesterions,détesteriez,avais détesté,avais détesté,avait détesté,avions détesté,aviez détesté,avaient détesté,détesteraient,déteste,détestes,déteste,détestions,détestiez,détestent,aurais détesté,aurais détesté,aurait détesté,aurions détesté,auriez détesté,auraient détesté,aurai détesté,auras détesté,aura détesté,aurons détesté,aurez détesté,auront détesté,N/A,déteste,N/A,détestons,détestez,N/A,aie détesté,aies détesté,ait détesté,ayons détesté,ayez détesté,aient détesté,détestasse,détestasses,détestât,détestassions,détestassiez,détestassent,eusse détesté,eusses détesté,eût détesté,eussions détesté,eussiez détesté,eussent détesté,N/A,aie détesté,N/A,ayons détesté,ayez détesté,N/A,eus détesté,eus détesté,eut détesté,eûmes détesté,eûtes détesté,eurent détesté,détestai,détestas,détesta,détestâmes,détestâtes,détestèrent,détestant
déplaire,to displease,TRUE,déplais,déplais,déplaît;déplait,déplaisons,déplaisez,déplaisent,ai déplu,as déplu,a déplu,avons déplu,avez déplu,ont déplu,déplaisais,déplaisais,déplaisait,déplaisions,déplaisiez,déplaisaient,déplairai,déplairas,déplaira,déplairons,déplairez,déplairont,déplairais,déplairais,déplairait,déplairions,déplairiez,avais déplu,avais déplu,avait déplu,avions déplu,aviez déplu,avaient déplu,déplairaient,déplaise,déplaises,déplaise,déplaisions,déplaisiez,déplaisent,aurais déplu,aurais déplu,aurait déplu,aurions déplu,auriez déplu,auraient déplu,aurai déplu,auras déplu,aura déplu,aurons déplu,aurez déplu,auront déplu,N/A,déplais,N/A,déplaisons,déplaisez,N/A,aie déplu,aies déplu,ait déplu,ayons déplu,ayez déplu,aient déplu,déplusse,déplusses,déplût,déplussions,déplussiez,déplussent,eusse déplu,eusses déplu,eût déplu,eussions déplu,eussiez déplu,eussent déplu,N/A,aie déplu,N/A,ayons déplu,ayez déplu,N/A,eus déplu,eus déplu,eut déplu,eûmes déplu,eûtes déplu,eurent déplu,déplus,déplus,déplut,déplûmes,déplûtes,déplurent,déplaisant
détourner,to divert,FALSE,détourne,détournes,détourne,détournons,détournez,détournent,ai détourné,as détourné,a détourné,avons détourné,avez détourné,ont détourné,détournais,détournais,détournait,détournions,détourniez,détournaient,détournerai,détourneras,détournera,détournerons,détournerez,détourneront,détournerais,détournerais,détournerait,détournerions,détourneriez,avais détourné,avais détourné,avait détourné,avions détourné,aviez détourné,avaient détourné,détourneraient,détourne,détournes,détourne,détournions,détourniez,détournent,aurais détourné,aurais détourné,aurait détourné,aurions détourné,auriez détourné,auraient détourné,aurai détourné,auras détourné,aura détourné,aurons détourné,aurez détourné,auront détourné,N/A,détourne,N/A,détournons,détournez,N/A,aie détourné,aies détourné,ait détourné,ayons détourné,ayez détourné,aient détourné,détournasse,détournasses,détournât,détournassions,détournassiez,détournassent,eusse détourné,eusses détourné,eût détourné,eussions détourné,eussiez détourné,eussent détourné,N/A,aie détourné,N/A,ayons détourné,ayez détourné,N/A,eus détourné,eus détourné,eut détourné,eûmes détourné,eûtes détourné,eurent détourné,détournai,détournas,détourna,détournâmes,détournâtes,détournèrent,détournant
